freq,unit,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,Y18-59,M,CZ,,,7.1,8.0,6.6,5.6,4.2,4.8,5.3,5.8,6.0,5.8,4.0,4.0,2015,5.3
A,PC,Y18-59,M,HU,,,7.8,11.9,10.8,11.1,10.2,10.4,11.7,12.3,13.0,11.3,5.3,4.2,2015,8.3
A,PC,Y18-59,M,PL,,,14.9,12.9,10.5,8.2,6.8,7.1,7.1,7.0,7.3,7.6,3.9,3.9,2015,7.2
A,PC,Y18-59,M,RO,,,,,8.7,7.7,7.3,7.4,6.7,7.1,6.5,6.4,4.4,5.7,2015,6.8
A,PC,Y18-59,M,SK,,,5.9,6.1,5.6,4.5,5.1,7.3,7.5,6.8,6.9,7.1,6.0,,2015,7.5
A,PC,Y18-59,T,AT,40.6,7.4,7.9,8.4,8.8,8.0,7.5,8.4,9.1,8.2,7.9,9.3,7.1,,2015,8.4
A,PC,Y18-59,T,CZ,,,8.8,8.9,8.2,7.1,5.9,6.2,6.5,6.9,7.1,7.0,4.9,4.8,2015,6.4
A,PC,Y18-59,T,HU,,,9.5,12.8,11.8,12.3,11.1,11.3,12.3,12.6,13.2,12.1,5.1,4.4,2015,8.9
A,PC,Y18-59,T,PL,,,15.6,13.6,11.2,8.9,7.6,8.1,7.8,7.6,7.8,8.0,4.3,4.1,2015,7.6
A,PC,Y18-59,T,RO,,,,,10.4,9.3,9.0,8.7,8.2,8.7,8.1,7.6,5.1,6.8,2015,8.0
A,PC,Y18-59,T,SK,,,7.2,6.7,6.7,5.4,5.6,7.9,7.8,7.2,7.3,6.9,5.6,,2015,6.9
A,PC,Y20-24,F,AT,,6.1,6.1,7.4,7.0,6.8,5.8,4.7,5.9,8.8,6.5,8.9,8.8,,2015,5.6
A,PC,Y20-24,F,CZ,,,7.6,5.1,5.2,4.7,4.4,4.8,4.0,3.4,6.1,4.7,5.2,4.8,2015,4.2
A,PC,Y20-24,F,HU,,,6.2,9.4,11.5,11.0,8.6,9.0,10.8,12.5,14.0,12.6,4.8,6.4,2015,9.0
A,PC,Y20-24,F,PL,,,13.7,11.3,8.3,6.9,5.4,7.1,5.7,5.2,5.9,7.5,4.0,3.2,2015,5.4
A,PC,Y20-24,F,RO,,,,,6.1,6.0,5.1,5.7,5.9,7.0,7.2,4.3,2.5,8.0,2015,6.4
A,PC,Y20-24,F,SK,,,4.2,3.7,4.5,3.3,4.5,5.9,4.5,4.5,5.1,5.3,3.4,,2015,7.3
A,PC,Y20-24,M,AT,45.5,4.2,4.5,5.6,4.2,4.7,5.9,6.2,5.9,4.9,4.4,4.1,5.6,,2015,4.5
A,PC,Y20-24,M,CZ,,,6.3,7.1,8.0,4.1,1.1,4.8,4.3,3.7,5.5,3.4,3.7,3.1,2015,4.6
A,PC,Y20-24,M,HU,,,3.7,8.5,7.5,9.6,9.5,7.4,9.4,12.0,12.1,10.4,4.7,3.0,2015,5.5
A,PC,Y20-24,M,PL,,,11.8,10.6,8.7,6.3,5.7,7.1,6.2,6.8,6.5,5.8,2.6,3.6,2015,4.5
A,PC,Y20-24,M,RO,,,,,6.5,7.4,5.9,5.5,5.4,7.0,5.8,5.2,4.8,8.4,2015,6.0
A,PC,Y20-24,M,SK,,,3.8,3.0,4.3,3.0,2.9,4.4,4.6,5.4,6.5,6.2,3.5,,2015,5.9
A,PC,Y20-24,T,AT,51.6,5.1,5.3,6.5,5.6,5.6,5.9,5.5,5.9,6.7,5.4,6.1,7.2,,2015,5.0
A,PC,Y20-24,T,CZ,,,6.9,6.2,6.7,4.4,2.7,4.8,4.2,3.6,5.8,4.0,4.3,3.8,2015,4.4
A,PC,Y20-24,T,HU,,,4.9,9.0,9.4,10.3,9.1,8.2,10.1,12.2,13.1,11.4,4.7,4.7,2015,7.1
A,PC,Y20-24,T,PL,,,12.8,11.0,8.5,6.6,5.5,7.1,6.0,6.0,6.2,6.6,3.3,3.4,2015,5.0
A,PC,Y20-24,T,RO,,,,,6.3,6.7,5.5,5.6,5.6,7.0,6.5,4.8,3.6,8.2,2015,6.2
A,PC,Y20-24,T,SK,,,4.0,3.4,4.4,3.2,3.6,5.1,4.6,5.0,5.8,5.8,3.4,,2015,6.5
A,PC,Y20-29,F,AT,41.3,5.6,7.6,6.5,7.8,6.2,7.5,7.6,7.5,10.0,7.1,8.6,6.4,,2015,8.5
A,PC,Y20-29,F,CZ,,,7.5,6.3,5.8,5.2,4.6,4.5,5.3,5.4,5.9,6.7,7.1,4.6,2015,6.0
A,PC,Y20-29,F,HU,,,5.0,8.0,8.2,9.7,8.2,10.3,11.2,12.0,12.8,12.0,4.4,6.0,2015,7.8
A,PC,Y20-29,F,PL,,,12.1,10.2,6.6,5.2,4.6,6.0,5.0,4.4,5.3,6.7,3.5,3.2,2015,5.2
A,PC,Y20-29,F,RO,,,,,6.4,5.1,5.0,4.3,5.3,6.2,6.7,6.0,4.9,6.9,2015,6.4
A,PC,Y20-29,F,SK,,,4.4,3.8,4.5,3.2,3.9,5.6,4.7,4.7,5.4,5.8,4.4,,2015,6.8
A,PC,Y20-29,M,AT,40.0,6.1,6.9,7.2,5.9,5.4,5.9,6.6,8.7,7.4,6.5,6.9,7.4,,2015,6.1
A,PC,Y20-29,M,CZ,,,5.0,6.1,5.1,3.4,2.2,4.2,4.4,5.2,4.7,4.5,4.6,2.9,2015,4.4
A,PC,Y20-29,M,HU,,,3.4,7.9,7.0,8.0,8.3,7.2,9.3,11.9,12.2,10.5,4.3,3.3,2015,5.5
A,PC,Y20-29,M,PL,,,12.2,10.0,8.1,5.3,5.3,5.6,5.3,5.0,5.8,5.6,3.1,2.8,2015,4.6
