freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU1,CP122,PM,RO,,,,,0.0,2015,0.0
A,QU1,CP122,PM,SK,,,,,0.0,2015,0.0
A,QU1,CP123,PM,AT,,11.6,6.5,5.0,9.0,2015,5.0
A,QU1,CP123,PM,CZ,,,,7.0,5.0,2015,5.0
A,QU1,CP123,PM,HU,,,,2.0,1.0,2015,1.0
A,QU1,CP123,PM,PL,,,,8.0,8.0,2015,7.0
A,QU1,CP123,PM,RO,,,,1.0,1.0,2015,1.0
A,QU1,CP123,PM,SK,,,,4.0,6.0,2015,2.0
A,QU1,CP124,PM,AT,,0.0,5.5,2.0,6.0,2015,11.0
A,QU1,CP124,PM,CZ,,,,0.0,2.0,2015,2.0
A,QU1,CP124,PM,HU,,,,1.0,7.0,2015,7.0
A,QU1,CP124,PM,PL,,,,1.0,1.0,2015,1.0
A,QU1,CP124,PM,RO,,,,0.0,1.0,2015,0.0
A,QU1,CP124,PM,SK,,,,0.0,0.0,2015,1.0
A,QU1,CP125,PM,AT,,12.6,28.5,41.0,30.0,2015,31.0
A,QU1,CP125,PM,CZ,,,,53.0,11.0,2015,14.0
A,QU1,CP125,PM,HU,,,,21.0,15.0,2015,14.0
A,QU1,CP125,PM,PL,,,,5.0,5.0,2015,9.0
A,QU1,CP125,PM,RO,,,,0.0,0.0,2015,0.0
A,QU1,CP125,PM,SK,,,,12.0,1.0,2015,16.0
A,QU1,CP126,PM,AT,,0.6,0.4,1.0,0.0,2015,1.0
A,QU1,CP126,PM,CZ,,,,6.0,7.0,2015,6.0
A,QU1,CP126,PM,HU,,,,0.0,1.0,2015,2.0
A,QU1,CP126,PM,PL,,,,1.0,1.0,2015,1.0
A,QU1,CP126,PM,RO,,,,0.0,1.0,2015,0.0
A,QU1,CP126,PM,SK,,,,2.0,3.0,2015,1.0
A,QU1,CP127,PM,AT,,6.7,14.1,12.0,13.0,2015,8.0
A,QU1,CP127,PM,CZ,,,,2.0,4.0,2015,6.0
A,QU1,CP127,PM,HU,,,,8.0,8.0,2015,5.0
A,QU1,CP127,PM,PL,,,,1.0,2.0,2015,1.0
A,QU1,CP127,PM,RO,,,,2.0,1.0,2015,1.0
A,QU1,CP127,PM,SK,,,,4.0,2.0,2015,1.0
A,QU2,CP01,PM,AT,,181.3,154.7,159.0,129.0,2015,124.0
A,QU2,CP01,PM,CZ,,,,234.0,228.0,2015,232.0
A,QU2,CP01,PM,HU,,,,276.0,197.0,2015,222.0
A,QU2,CP01,PM,PL,,,,291.0,254.0,2015,236.0
A,QU2,CP01,PM,RO,,,,527.0,370.0,2015,341.0
A,QU2,CP01,PM,SK,,,,280.0,249.0,2015,224.0
A,QU2,CP011,PM,AT,,163.9,138.7,144.0,115.0,2015,110.0
A,QU2,CP011,PM,CZ,,,,211.0,209.0,2015,212.0
A,QU2,CP011,PM,HU,,,,254.0,182.0,2015,203.0
A,QU2,CP011,PM,PL,,,,272.0,235.0,2015,217.0
A,QU2,CP011,PM,RO,,,,504.0,350.0,2015,322.0
A,QU2,CP011,PM,SK,,,,256.0,227.0,2015,203.0
A,QU2,CP012,PM,AT,,17.4,16.0,16.0,14.0,2015,14.0
A,QU2,CP012,PM,CZ,,,,23.0,20.0,2015,20.0
A,QU2,CP012,PM,HU,,,,21.0,15.0,2015,19.0
A,QU2,CP012,PM,PL,,,,18.0,19.0,2015,20.0
